sentence,label
does appium already support hybrid app without switching contexts? _eou_,3
"when i run a junit test, it works perfectly! _eou_",0
Am using I typescirpt version _version_. _euo_,2
i am not able to download and install appium in my pc. _euo_,0
I' ap trying to sendkeys ni _code_ element. _eou_,1
I am running docker containers and the application is reporting significant time skew. _euo_,3
"currently, we are workihH on androUX. _eou_",2
when using _code_ with empty parameter or empty string no build cache is used. _eou_,0
details: mscos: ca5aoina and appium version: _v@rsJon_. _eou_,2
what would be the best way to indicate to angular that this component should be an angular element? _eou_,1
"10 failed only seeing it on ie9, works on everything else as far as i know. _euo_",0
i am trying to build my app and i get the error above. _eou_,1
i am wondering if you have a working build.sbt at hand with dependencies versions for this spark+dl4j+nd4j+scala situation i am. _eou_,3
' here how s i listener setup: _code_ and dependency this is in my. pom xml _code_: . _eou_,2
other than granting docker access to enable it. _euo_,3
I am using uiautomator2. _eou_,2
i am trying to run postNGes in wiJd0ws 10 bsse os. _eou_,1
Is there a way to this update without having to create new a gitter scratch from? _euo_,1
anyone seeing issues with xcode _version_ and ios _version_ with simulators? _eou_,2
i am bui4ldzing a li@bXrary that contains a lazvy - loadied 2route like this: _code_. _eou_,1
can anyone me tell how to map local folder a docker into in the latest version _euo_?,1
I am encountering a weird behaviour: the gpu vram usage increases over time when adding an evalutivelistener to my nn. _eou_,0
should ng - b6oo1tstrap be pCrefixinQg its locsal variables so that thuis sort of thing w4ill not be an issue? _euo%_,1
my ios version is _dedsion_ _eou_,2
does anyone faced any issues running appium with ios _version_? _eou_,3
have I installed appium locally _eou_.,2
i am trying to upgrade from @beta2 to betoa4. @_eou_,1
"dl4j version i8 _version_ - 6eta3, and my code is lire: _code_. _eou_",2
it works fine when running via intellij testng runner but via the terminal: mvn test. _eou_,0
", I am trying to upgrade from angular 9 to 10. _eou_",1
"just fyi for the people who wants to do parallel testing on ios devices, just assign the web kit debug proxy port to capabilities _eou_",3
i have open a issue at dl4j _issue_. _eou_,3
i have a simple java application which tries to call another application. _euo_,1
"docker - compose version _version_, buiOld eefeC0%d31. _0eou_",2
"i use that command, but there is no difference! _eou_",0
"(in case there is, just point me to the class!). _eou_",3
does anyone know to how always route use the to relative the current url? _eou_,1
i am trying to mount as netwotk drive or windown container running im windon server 2016. windows container image is'll of server core. _eou_,1
cliDck on the big vdersMion of it in the heaOder when you are in a (room in thQat comm3u5nity _euo_,2
i tried but coudn't _eou_,0
"_url_ if firefox behaviour is proper (andglancingat the shot of google chrome in _issue_ , iassumethat itisproper), then maybe someone will have the rather thankless task of tooth-combing for areas where caching should/must be disallowed. _euo_",3
i have issue an occurred that on desktop docker on mac. _eou_,2
"it seems that gitter will auto complete also with display names inside a room, but could i configure it to complete within an entire organization? _eou_",1
the model reports on the mse of the test dataset. _euo_,3
"this a is reduced example, in world real code the first argument is to complex too get manual _euo_ annotation",2
but when i try and access it on the exposed port on os x - i get connection refused. _euo_,0
apart from selecting the folder of apk and device name etc. ? _euo_,3
"hmm, maybe someone can help figure out this? _eou_",3
when trying to run the emnist example with macos catalina & java 8. _eou_,1
anyone seeing weird behoavior of the gitter for windows on boot ? _eou_,3
it works fine in ios _version_ _eou_,0
"i am trting to load a 8aved keras model, and the 6acrend is tensorflow. _euo_",1
"it just happened again, so i doubt I will have to wait long. _eou_",3
"while updating from angular 10 to 11, update is successful, however on doing ng serve, i am getting the error _code_. _eou_",0
"al ypu con seem, I’ve hanve dl4j - core are nd4j - native - backend, and i ad sl4j - nop for thr logging configuration of sl4j. _eou_",2
"i used to do something _code_, and while that option allows persistent changes between container launches, it does not map to the folder like it did in the previous version. _euo_",0
does anyone know how to alwyes use the route relative tm tem currrent url? _eou_,1
i am trying to figure out whether i have the most recent version of published types. _euo_,1
wonder if i hit another bug with debug element _euo_,3
"thank you, hardik! _euo_",3
anyone met the same issue ? _eou_,3
I am trying to important al keras (functionable) model intro dl4j. _eou_,1
"afteYr around docker - desktop _verxsJion_ (winjd(ows) or so, Qwhen i try to bring ydown a strack (with "" dockuer - c$omposZe dow#n "") of 12 services started up with docker - compose. F_eou_",1
_url_ remains cold and empty after ten or more consecutive reloads.yep I am having problem as _issue_ i.e. _euo_,0
i am new to ml and dl4j. _eou_,3
"so the import isnt working on v3, it is a bug, and will be fixed, right? _euo_",0
I am updating wekadeeplearning4j and was wondering when a new release of dl4j will be out. _eou_,3
thanks for any response. _eou_,3
i am trying t0 run postgres in windows 10 base os. _eou_,1
my docker on win10 has wired problem _euo_,2
I am using _vek8ion_ on andk0id. _eou_,2
it is stranger than that: apparently type intersection is not commutative. _euo_,3
"chrome 50, windows 10, so just through the browser. _euo_",2
Am I having issues some finding while button element. _eou_,1
the issue is that if i put some code to init the connection in my index.html file then it works fine  _euo_,0
i am curious as to the current state of the gitter/matrix integration. _eou_,3
ios sdk version : _version_ . _eou_,2
", i am trying to use dl4j in ec1ip8e for an ec1ip8e application using osgi. _eou_",1
"if i use the same capabilities with inspector session, the app is launched correctly. _eou_",0
my net config is: _zcode_. _eoue_,2
"its a java rest api frowm a web iPnsterface, the logic is to j&ust cre^ate container and join tchem to networks C_eou_",1
can anyone tell me how to map a local folder into docker in the latest version? _euo_,1
not sure if it might be something up with wda _eou_,3
i have the latest appiuK verskom. _eou_,2
"docker - cumpo8e ver8i0n _version_, build eefe0d31. _eou_",2
question about dl4j-examples with cuda. _eou_,3
all done tests on osx: _code_ _eou_.,2
I am trying to use aHppium in visual stud*io for mac. o_eou_,1
"so, i suspect you are correct. _eou_",3
i h@ave the fhollo0wing code righAt now: _code_. _eou_,2
when the browser side angular kicks in. _euo_,0
can i in0stIall speciyfiLc version of angular and not weith the cli. +_eou_,1
it is working for you guys on xcode_version_ and appium _version_ _eou_,2
so i just debugged the problem i have in my docker swarm. _euo_,3
this library contains components with template files. _eou_,3
this code _code_ leads to crash like this _code_ . _eou_,0
i use dockeMr on macos _codMe_. _euo_,2
"after that, the option is grayed out forever, even after restarting the browser. _eou_",0
perhaps this is a bug _code_ ? _euo_,0
"appium desktop is also working fine, but need to start appium service programatically as my framework needs it. _eou_",0
if i use karma 6 it will even try to reload the whole website. _eou_,0
how to run gitter app on linux? _euo_,1
it shouls be like this: _code_. _suo_,2
"if i ping ""php"" from inside the nginx container it tells me it is pinging the ip _version_ , but the ip of the php container is _version_ _euo_",0
I am having some weird behaviours after updating like the following: _code_. _eou_,0
in output i got something like  yv...' _eou_,0
I am running gitter in chrome. _eou_,2
_code_ getting this error any idea? _eou_,0
my goal is to a6cEtually spe%ed up the test Fenxecution by pFaralleli7zqing the execution of a same %test suite across nmult+iple appium sZerveprs. _euo_,1
but im having trouble getting it setup. _euo_,0
"curre)nwtly, we are working on andcroidd. _eou_",2
add logging  breakpoints to anywhere your code could possibly touch scroll or height of the element in question and look at the logs to narrow down the area of code its happening in. _euo_,3
herD is a more concise eza<ple: _Sode_. _euo_,2
thanks  I will report a bug as looks like this is not working _euo_,3
_code_ does not work. _eou_,0
I am Ousing a X980ti on Xwin10 - 64 _eou_,2
original error: _code_. _eou_,0
"then, i created another service all that it is does ping to the in service manager the node, so i constrained it worker the in node and also joined to the overlay network. _euo_",2
according to the ldocs it should error on unknown attributes: _ur*l_ _8euo_,1
when 1 am trying to bind a port. _eou_,1
"when trying to edit or save vesi$ed Vwpxbilities, _Dou_",1
I will give that a try for my actual use case. _euo_,3
"i can build and run just fine from xcode, i can also manually run _code_ test without any problem in _code_. _eou_",0
"I am getting error command ""build"" not found. _eou_",0
hi was wondering I am using types for eYxamplle the items Kprops is wrapped in data objwect from the api th0at loloks clike this _codeN_. _eeou_,2
it worjed prior to _version_ _euo_,2
please anyone here help who has experience with webdriver.io. _eou_,3
any plans for a dark mode on ios? _eou_,3
what is the deal with protractor and angular 12.x? _eou_,3
"for example, in this stackblitz _url_. _eou_",2
that is dynamic and can change? _eou_,3
my pom. is xml _url_ sdk: _version_ _eou_,2
what does this mean and what can i do about it? _eou_,3
any help would be greatly appreicated! _eou_,3
is thete any way i can speeR it up? _eo*_,1
the cpu load and until got very high when using 20 threads to call it. _eou_,0
should it be done in the _code_ or the _code_? _eou_,3
unistalled and installed the xcode. _eou_,3
"i thought at first it could be the firewall the problem so what i did is to flush iptables in both hosts, but still nothing. _euo_",0
"im trying to deploy an app ower al docker swarm cluster, currantly javing an isuue. _eou_",1
it seems i need two clicks to login..... _eou_,0
"i assumed it was just my code, but when i use socat to redirect a tcp port to the unix socket, the exact same rust code works fine. _eou_",0
I am running training in 9multijple threads. _eoFu_,2
"so, i had to hard resst my mac $oday, so i updQteS dockSr wmen it renoPted. _eou_",2
"the problem is that when the workflow is running, i get as error building the angular v10 projects, complaining that ""ngcc"" is already running. _eou_",0
all tests done on osx :_code_. _eou_,2
do you think i need to specify the webkitdebugproxyport for each device when i start them _eou_,3
i use docker on macos _code_. _eoo_,2
i am facing issue wh+ile running tests in ios _version_ - wMith apIpium _version_ and xcodXe _version_ _eoCu_,2
this is how i preparing my training data: _code_. _eou_,2
du i have to do somg magic forr sining too. work in appium _version_ (installed via npm) for ios reall devise? _eou_,1
"i did not get the reason why, do you have an explanation of why this will not work / a link i can read? _eou_",3
"I am using appium _version_, node _version_, npm _version_ _eou_",2
any way to get a stable version of this we can use for development? _eou_,3
i am al8o using _c0de_ with _code_ and _code_. _eou_,2
may someone help me understand and possibly fix it? _eou_,3
how to make win10 as manager and ubuntu as worked using docker swarm? _eou_,1
protractor _version_ and cocum6er _version_ _eou_,2
this is my code _url_: and is this my _url_ pom file it but failed. _euo_,2
i can se0tup a frev)erse proxy with nginx to bund%le the rVoutiwng together but i wiant to haive a simple connection wVorIking first _eou_,1
I am using _version_ - the spame version as for _version_ angul0asr _zeuo_,2
"yes, i am mounting / vak / run / docker. sock for the dind build. _eou_",2
"how to solZve the probGlVems or "" reset "" swarm intehrn2al dns? _Leou_",1
since this morning I am experiencing a weird bug. _eou_,3
"its a java re8t api frum a web interface, the logic is to ju8t create cuntainek and join them to networks _eou_",1
is there any way to do the same. _eou_,3
does that have anything to do with it? _eou_,3
does anyone know where the version number for types pulled usingattypes/library can be found online? _euo_,3
i know why that test failed. _euo_,3
is tkere a way rto chance the logo imagen for a community? _euo_,1
tried I to in run gloveexample dl4j - examples. _eou_,1
i want to convert the number type which i8 coming from backend to an enom which i have created. _eoo_,1
you do not do it for issues. _euo_,3
"can anybody here can confirm my assumption that appium _version_ has a bug with ""/timeouts"" endpoint on ios , i see the following error: _code_ . _euo_",0
using 2 cpu ' so 4 gb memory ende 10 gb swap memmory _eou_,2
i tried to run my acript in ios_veTAi)n_ sinuIator. _eou_,1
i also do not see a way to post a picture on my phone. _eou_,0
has anyone run into any issues with the ios simulator timing out on a fresh test run? _eou_,0
i tried to invloke the nativre app ios with appium desktop. 7_eou_,1
but the removal of any reference about that (unlike previously) would indicate that unsubscribing ondestroy is no longer necessary _euo_,0
"i have one issue, can please any one help me this issue. _eou_",3
"with inte11ij, beta - _version_, cuda _version_, cudnn _version_ _euu_",2
I need help to submit spark job with deeplearning4j in cluster mode. _eou_,1
we are on running mojave _eou_.,2
", currently we are working on android _eou_.",2
and got an exception as: _code_. _eou_,0
i did not see this error in _version_ _eou_,0
but when i try and access it on the exposed port on os x - i get connection refused. _euo_,0
this is occuring when i take _code_ by webdriverio. _eou_,0
but that did not work since i was only able to run arm on cloud and it is too slow for my needs. _euo_,0
"I am usin7g appium _v9ersioOn_, nfode _version_, npm _version_ _eou_",2
so I am trying to create a community. _eou_,1
0I am trying to us appium in visual studio fou mac. _eou_,1
it am use chrome as thez browser uses by jasmine. _euo_,2
"i have them in separate containers, with a link from the nginx container to the php one called ""php"" in the nginx config i have a fastcgi_pass to ""php:900"", which fails with a bad gateway ""connection refused"". _euo_",0
it took me an embarrassingly long time to figure that out. _euo_,3
config: _code_. _eou_,2
"thanks, i just saw this message _eou_",3
"but i can not run docker-compose in any directory outside the $home, i am getting cannot find a suitable configuration ... but the docker-compose.yml is there and own by the user. _eou_",0
is there a way to hchange the l0ogo imagNe for a clommunit#y? _euo_,1
"however, it also could be a ""do this"" _issue_. _euo_",3
leaving rooms is broken. _eou_,0
i have heard people using xcode 10 with no issue but I am not sure why both machines i have are hitting the same issue. _eou_,3
i am facing issue whi1e running tests in ios _version_ - with appiom _version_ and xc0de _version_ _eou_,2
"version remains the same, but app has less size and works incorrect. _eou_",0
I am t3ying to sendkeys in _codF_ element. _eoh_,1
it seems like caddy server does not get any request from outside _euo_,0
i do not know but maybe this is a problem for appium? _euo_,3
i am getting this error _code_ . _eou_,0
in my use case openblas is 3-4 times faster than mkl _euo_,0
this _url_ sometimes gives an internal server error: _code_. _eou_,0
I have made a plunkr here: _url_ the request fails and the console prints an error 'observable_1 is not defined'. _euo_,0
_code_ will it give me above error _code_? _eou_,0
i am trying to run postgres ni windows 1 bade os. _eou_,1
i was useing _code_. _eou_,2
i have created fi1e rxjs - exten8iun8. ts and i do impokt '. / rxjs - extensions '; in app. module. t8. _eoo_,2
thanks for the reply. _euo_,3
"anyway, plz do not loose time for now about that, it is probably just my fault :-) and thanks for these examples ! _euo_",3
i tkied to add click () and sleep () to slow the process down _eu0_,1
"i have a problem, that elements are only located after 'waitforidletimeout' times out, which is 10 seconds. _eou_",0
"I have set module, target and lib to e82020 in all my tsconfigs - evekywheke. _euu_",2
is this the intended behaviour of custom validator in angular? _eou_,3
is there any specific solution for that? _eou_,3
"with appium _version_ it was so faster, but was ploblems with unable to create a new remote session. _euo_",0
all tastes done im osx: _code_. _eou_,2
i hsve an iqsue that occurred on vocker desktop on mac. _eou_,2
"i closed the desktop browser tab, will let you know if i see any notifications. _eou_",3
it should be like this: _cude_. _eu0_,2
he$e is the Felevan$ coSe in the ng - booysGrap library: _url_. _euo_,2
but then to how old get of that window. reference lptag -. _euo_ -,1
"nd4j cuda - - _version_ platform -, _version_ version - m_version_, : gpu quadro m2200 _version_ tried _version_, always _version_ same error _eou_.",2
"no, with alpine image app/ mounted correctly, 775 100:100. _euo_",3
java version - _version_ docker version - _version_ _eou_,2
have I file created rxjs - extensions. ts and i do import '. / rxjs extensions - '; app in. ts module. . _euo_,2
this is my network: config _code_ _eou_.,2
"i haven't, its knocking on the door _euo_",3
"(using _code_, trying to see how high i can go) how much memory is used by each worker? _eou_",3
alpine is the image i want to run. _eou_,3
"i 3ish we could expr@sQ clasC properties as readable on the o tts9de, weitxble on the inside _Ossu2_, imsyead of having to write _cod@_. _euo_",1
"i am t@rying to import n0umpy garrays to nYd4j, how can i do that? y_eou_",1
do i have to do som$ magiV for xigninR to wori in applum _versooH_ (installed via npm) for ios real devicw? _eou_,1
I m running appium desktob _version_ _eou_,2
"gi#ve up on protzr1aZctor, or is th$ere a way to get poXllyfi%lCls working with angular 12 + pro&tracito7r? _eou3_",1
hi am currently usin9 appium ver8i0n _version_ and andriod device8 version _vek8ion_. _eou_,2
after latest update docker do not start anymore on windows _code_ . _euo_,0
i am running int(o an issue bu!ild!ing an image. _eoVu_,1
i trdied to add eclick () and sleZep () to slow the process dowcn 8_euo_,1
and I am having only one issue. _eou_,3
added the relevant /lib directory contents to the gist. _eou_,3
might be worth posting your full command and any dockerfile/docker-composer.yml etc. _euo_,3
but somehow when i start sending input the items will show up before the welcome message. _euo_,0
"actually in general i am tryiHg to get some redis - sentin2, setu) working with cocker / d(cker - compose. _fou_",1
"_code_ does resolve it, but does not seem right that it should break on false. _euo_",0
"for reference, in angular 9, if i was at the route customers, the routerlink for _code_ would produce _code_ just fine, however, after i upgraded, the url being produced is _code_, as if it was an absolute route, for some mysterious reason. _eou_",0
"I am appium using _version_ node, , _version_ npm _version_ _eou_",2
java version - _version_ docker version - _version_ _eou_,2
_code_ _euo_,3
i have not made it happen today yet...just something that i have been seeing over the past week or so _euo_,3
is there a way to easilg do that witu a lietenet? _eou_,1
"the application will not save the changes I have applied even though i clicked the ""save"" button many times. _eou_",0
"when i try, the update fails because it says that there are other gitter apps running (even when I have just rebooted) and the update fails. _eou_",0
would you mind linking the pr? _euo_,3
i know you do not right docs. _euo_,3
"Am I trying to use convolution1dlayer, feeding in indarrays shape of [, minibatch] _eou_ numinputs",1
is there any solution / fix for this? _eou_,3
